Date,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,30Y
2022-07-18,3.1179,3.1905,3.1454,3.0556,3.0198,3.0398,3.1522,3.2743,3.4542
2022-07-19,3.1581,3.2541,3.2178,3.1262,3.0805,3.0845,3.1808,3.2988,3.4858
2022-07-20,3.168,3.2773,3.2516,3.1653,3.1156,3.1093,3.191,3.302,3.4877
2022-07-21,3.0628,3.1123,3.0899,2.9974,2.9412,2.9529,3.0865,3.2225,3.3956
2022-07-22,2.9868,2.9951,2.9561,2.8594,2.8089,2.83,2.9792,3.1314,3.3291
2022-07-25,3.0231,3.035,2.9926,2.8884,2.8373,2.8654,3.0256,3.1808,3.3763
2022-07-26,3.0373,3.0634,3.0193,2.8982,2.8324,2.851,3.0122,3.1718,3.3728
2022-07-27,2.9892,2.9928,2.9445,2.8339,2.7825,2.8175,2.997,3.1704,3.3898
2022-07-28,2.9186,2.8822,2.8167,2.7022,2.661,2.7174,2.9349,3.1422,3.4079
2022-07-29,2.9445,2.9042,2.8356,2.7134,2.6629,2.7069,2.9142,3.1207,3.3915
2022-08-01,2.9523,2.903,2.8187,2.668,2.6012,2.6361,2.8371,3.0347,3.2873
2022-08-02,3.0544,3.0775,3.0174,2.8593,2.7689,2.7759,2.9488,3.1262,3.3512
2022-08-03,3.0853,3.1008,3.0332,2.8615,2.7601,2.7543,2.9134,3.0821,3.2975
2022-08-04,3.0497,3.0287,2.9466,2.7742,2.6841,2.6982,2.8871,3.0798,3.326
2022-08-05,3.2091,3.2486,3.1748,2.9739,2.8557,2.8479,3.0165,3.1885,3.401
2022-08-08,3.1982,3.2183,3.1322,2.9195,2.7973,2.7876,2.9537,3.1227,3.331
2022-08-09,3.2341,3.2698,3.1911,2.9752,2.8397,2.8113,2.965,3.1349,3.3503
2022-08-10,3.1898,3.2228,3.1418,2.9319,2.8128,2.8118,2.9948,3.1768,3.4
2022-08-11,3.1807,3.2217,3.1589,2.985,2.8893,2.9061,3.1041,3.2973,3.5359
2022-08-12,3.1868,3.2434,3.1754,2.9771,2.8633,2.8696,3.0664,3.2601,3.4979
2022-08-15,3.1574,3.1905,3.1173,2.9222,2.8108,2.8179,3.0221,3.229,3.4885
2022-08-16,3.1795,3.239,3.1707,2.9656,2.8429,2.8402,3.0354,3.2343,3.4818
2022-08-17,3.2072,3.2925,3.2447,3.0569,2.9298,2.9088,3.0848,3.2805,3.5332
2022-08-18,3.1723,3.243,3.2012,3.0344,2.9175,2.8954,3.0662,3.2666,3.5349
2022-08-19,3.1931,3.2782,3.2515,3.1128,3.0163,3.0098,3.1801,3.3689,3.6168
2022-08-22,3.2459,3.3429,3.3205,3.1798,3.0767,3.0592,3.2141,3.3919,3.6262
2022-08-23,3.2224,3.3196,3.306,3.1863,3.0969,3.0855,3.2348,3.4049,3.6301
2022-08-24,3.2713,3.385,3.3719,3.2448,3.1541,3.1493,3.306,3.4734,3.6869
2022-08-25,3.2711,3.3684,3.3406,3.1897,3.0826,3.0651,3.2188,3.3906,3.613
2022-08-26,3.3045,3.4003,3.3759,3.2303,3.1201,3.087,3.21,3.3588,3.5553
2022-08-29,3.3367,3.4332,3.417,3.2901,3.1909,3.1606,3.2737,3.412,3.5957
2022-08-30,3.3757,3.4694,3.4437,3.2991,3.1911,3.1563,3.2621,3.3892,3.5541
2022-08-31,3.3947,3.4615,3.4367,3.3149,3.2242,3.1975,3.3022,3.43,3.6007
2022-09-01,3.4367,3.5218,3.5108,3.4091,3.3321,3.3162,3.4225,3.5446,3.7039
2022-09-02,3.3863,3.4268,3.4068,3.3219,3.2648,3.2651,3.3833,3.5164,3.6956
2022-09-06,3.458,3.5249,3.5184,3.4432,3.3881,3.3897,3.5101,3.6443,3.8235
2022-09-07,3.4496,3.487,3.4652,3.3797,3.3239,3.3267,3.4459,3.5772,3.752
2022-09-08,3.4879,3.535,3.5106,3.4105,3.3437,3.3415,3.4663,3.6046,3.787
2022-09-09,3.5742,3.6141,3.5791,3.4601,3.3821,3.3725,3.4913,3.6235,3.7959
2022-09-12,3.5987,3.6244,3.5876,3.4781,3.4113,3.4133,3.5425,3.6813,3.8622
2022-09-13,3.7966,3.7974,3.7356,3.5831,3.4837,3.4507,3.5418,3.6553,3.8066
2022-09-14,3.8522,3.8405,3.7663,3.594,3.4821,3.4387,3.5207,3.6283,3.7718
2022-09-15,3.9093,3.9092,3.8347,3.6555,3.5392,3.4909,3.5569,3.644,3.7565
2022-09-16,3.9149,3.8998,3.8085,3.6161,3.5103,3.4908,3.5898,3.6894,3.8085
2022-09-19,3.9869,3.9809,3.8885,3.6828,3.561,3.5207,3.5952,3.6794,3.7816
2022-09-20,4.0325,3.9924,3.9035,3.7553,3.6654,3.6125,3.6427,3.7279,3.9031
2022-09-21,4.0516,4.0669,3.9558,3.7339,3.6114,3.5547,3.586,3.6458,3.737
2022-09-22,4.0845,4.1679,4.0943,3.9099,3.8013,3.7449,3.7592,3.8006,3.8665
2022-09-23,4.1512,4.2475,4.187,3.9612,3.7928,3.694,3.7125,3.7673,3.8398
2022-09-26,4.2212,4.3641,4.3374,4.152,3.9976,3.8894,3.8651,3.8814,3.9078
2022-09-27,4.2405,4.379,4.3637,4.2089,4.0789,3.9955,3.998,4.0319,4.0782
2022-09-28,4.1246,4.1568,4.0924,3.9189,3.8074,3.7612,3.8106,3.873,3.9495
2022-09-29,4.1703,4.228,4.1633,3.9763,3.8569,3.8049,3.8411,3.8891,3.9464
2022-09-30,4.2148,4.2861,4.2307,4.0521,3.9327,3.8767,3.911,3.9622,4.0264
2022-10-03,4.1709,4.1816,4.0983,3.8935,3.7635,3.7141,3.7918,3.8874,4.0076
2022-10-04,4.1685,4.1626,4.0604,3.833,3.6999,3.6608,3.7546,3.857,3.981
2022-10-05,4.2392,4.2102,4.1164,3.9646,3.8731,3.8184,3.846,3.9289,4.1012
2022-10-06,4.2788,4.2886,4.1942,4.0416,3.9471,3.8821,3.8871,3.9504,4.0995
2022-10-07,4.2935,4.37,4.3151,4.1234,3.9878,3.9201,3.9603,4.0232,4.1026
2022-10-11,4.3574,4.3599,4.2783,4.1403,4.0524,3.992,4.0,4.0642,4.2136
2022-10-12,4.337,4.3435,4.2568,4.1133,4.0249,3.9674,3.9818,4.0509,4.2038
2022-10-13,4.4787,4.5096,4.4,4.214,4.0986,4.0197,4.0277,4.1069,4.2912
2022-10-14,4.5079,4.5406,4.4348,4.2528,4.1378,4.0555,4.0543,4.1252,4.3003
2022-10-17,4.4796,4.4961,4.4007,4.2377,4.1367,4.071,4.0876,4.1668,4.3422
2022-10-18,4.4689,4.4701,4.3733,4.2085,4.1074,4.0451,4.0717,4.1607,4.3492
2022-10-19,4.5249,4.5924,4.5233,4.3352,4.219,4.1676,4.2121,4.2825,4.3846
