bucket,signed_notional_mm,cumulative_gap_mm
ON,-221.70894433764963,-221.70894433764963
ON-1M,-106.12258173859793,-327.83152607624754
1M-3M,-16.180846957894914,-344.01237303414246
3M-6M,469.72970102061026,125.71732798646781
6M-9M,0.0,125.71732798646781
9M-1Y,-51.68485176250724,74.03247622396057
1Y-1.5Y,0.0,74.03247622396057
1.5Y-2Y,-27.363214437948518,46.66926178601206
2Y-3Y,-385.33008472084543,-338.6608229348334
3Y-4Y,106.49144902322705,-232.16937391160633
4Y-5Y,-237.83062608839373,-470.00000000000006
5Y-6Y,0.0,-470.00000000000006
6Y-7Y,220.0,-250.00000000000006
7Y-8Y,0.0,-250.00000000000006
8Y-9Y,0.0,-250.00000000000006
9Y-10Y,0.0,-250.00000000000006
10Y-15Y,450.0,199.99999999999994
15Y-20Y,0.0,199.99999999999994
>20Y,0.0,199.99999999999994
